"group" "nodes" "species" "mean_edge" "links" "triplet" "DEG" "density" "tdensity"
33565 1308 450 616.370307999114 203085 9120081 "1" 0.118794002653321 0.0245088784182205
33723 35 33 571.909604519774 531 1308 "1" 0.446218487394958 0.199847211611917
33937 3 3 677.75 4 0 "1" 0.666666666666667 0
34103 513 476 738.690339168359 83233 3025003 "1" 0.316889772173489 0.135228687801124
34420 596 456 557.402450217995 156884 10896159 "1" 0.44240031583103 0.310366623769703
34996 4 3 304.818181818182 11 4 "1" 0.916666666666667 1
35189 647 308 1115.44834786644 51721 1069094 "1" 0.123745699369799 0.0237941737888044
35567 4 4 526.4 10 2 "1" 0.833333333333333 0.5
35783 2084 487 620.560022204562 250399 9726403 "1" 0.0576827033208231 0.00645707455083547
36026 3 3 369.333333333333 6 1 "1" 1 1
36207 3 3 591.333333333333 6 1 "1" 1 1
36762 3 3 370.5 6 1 "1" 1 1
37252 3 3 1091.66666666667 6 1 "1" 1 1
37356 2607 487 452.797962063445 368510 12242549 "1" 0.0542417677655736 0.00415049534518598
37434 679 488 253.250427091537 82535 2075210 "1" 0.179282825254908 0.0399507709997688
37458 24 23 340.282828282828 99 54 "1" 0.179347826086957 0.0266798418972332
38049 3 3 868.166666666667 6 1 "1" 1 1
38125 1000 485 179.199412569864 105204 2481751 "1" 0.105309309309309 0.0149352819753621
38378 2531 489 494.919061569034 282301 8000572 "1" 0.044085903960846 0.00296422245336935
39052 3 3 281 6 1 "1" 1 1
39202 658 245 463.314880687713 80964 3134646 "1" 0.187284007161594 0.0663200202701948
39219 2669 490 563.991402059914 456621 26742643 "1" 0.0641241293927783 0.0084488609463126
40853 5 5 675.642857142857 14 3 "1" 0.7 0.3
41144 1730 490 669.972691268049 233808 6965272 "1" 0.0781660687958224 0.00808545559838532
41383 587 479 1574.60110880816 78643 2439692 "1" 0.228625335046601 0.0727435797549931
42081 3553 491 759.563993304253 445656 15177016 "1" 0.035312754353002 0.00203197708239239
42743 16 16 1068.2 240 560 "1" 1 1
43873 4 4 431.375 8 1 "1" 0.666666666666667 0.25
44146 3 2 1048.5 4 0 "1" 0.666666666666667 0
