"group" "mean_edge" "links" "triplet" "nodes" "cc" "Edensity" "Tdensity" "species" "persp"
138 965.714285714286 10 4 7 0.666666666666667 0.476190476190476 0.114285714285714 3 2.33333333333333
139 1951 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
140 3541 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
141 1465.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
142 843 3 0 4 0 0.5 0 2 2
143 282 2 0 3 0 0.666666666666667 0 3 1
144 457.5 4 0 4 0 0.666666666666667 0 2 2
145 703.714285714286 6 0 7 0 0.285714285714286 0 2 3.5
146 172 2 0 3 0 0.666666666666667 0 3 1
147 2918.8 7 3 5 0.8 0.7 0.3 3 1.66666666666667
148 295.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
149 535 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
150 1387.22222222222 31 11 18 0.32536075036075 0.202614379084967 0.0134803921568627 3 6
151 1080.66666666667 7 2 6 0.444444444444444 0.466666666666667 0.1 3 2
152 2973 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
153 147.124087591241 202 7 137 0.0202255576015296 0.0216831258050666 1.6697676637565e-05 3 45.6666666666667
154 868 3 0 4 0 0.5 0 3 1.33333333333333
155 1225.6 6 2 5 0.533333333333333 0.6 0.2 3 1.66666666666667
156 600 2 0 3 0 0.666666666666667 0 2 1.5
157 473.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
158 523.834586466165 195 2 133 0.0197577276524645 0.0222146274777854 5.21776335356086e-06 3 44.3333333333333
159 956 2 0 3 0 0.666666666666667 0 2 1.5
160 433 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
161 672.666666666667 2 0 3 0 0.666666666666667 0 3 1
162 754.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
163 792.5 3 0 4 0 0.5 0 3 1.33333333333333
164 545.6 6 2 5 0.6 0.6 0.2 3 1.66666666666667
165 184.666666666667 3 1 3 1 1 1 3 1
166 471.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
167 1067.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
168 1200 3 0 4 0 0.5 0 3 1.33333333333333
169 575 12 4 8 0.275 0.428571428571429 0.0714285714285714 3 2.66666666666667
170 1036 8 3 6 0.633333333333333 0.533333333333333 0.15 3 2
171 669 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
172 566.8 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
173 1161.75 10 2 8 0.3125 0.357142857142857 0.0357142857142857 3 2.66666666666667
174 545.2 5 1 5 0.433333333333333 0.5 0.1 3 1.66666666666667
175 856 2 0 3 0 0.666666666666667 0 2 1.5
176 412 5 2 4 0.833333333333333 0.833333333333333 0.5 3 1.33333333333333
177 550 2 0 3 0 0.666666666666667 0 3 1
178 380.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
179 123.8 11 0 10 0 0.244444444444444 0 2 5
180 199.2 5 1 5 0.433333333333333 0.5 0.1 3 1.66666666666667
181 684.666666666667 3 1 3 1 1 1 3 1
182 590.8 4 0 5 0 0.4 0 3 1.66666666666667
183 298.866666666667 82 20 30 0.171909941909942 0.188505747126437 0.00492610837438424 3 10
184 1386.66666666667 7 2 6 0.477777777777778 0.466666666666667 0.1 3 2
185 1315.25 13 6 8 0.695833333333333 0.464285714285714 0.107142857142857 3 2.66666666666667
186 1653.6 6 2 5 0.6 0.6 0.2 3 1.66666666666667
187 573 3 0 4 0 0.5 0 2 2
188 652 2 0 3 0 0.666666666666667 0 3 1
189 869.666666666667 6 0 6 0 0.4 0 3 2
190 434 2 0 3 0 0.666666666666667 0 3 1
191 349.2 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
192 542.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
193 1642.4 6 2 5 0.6 0.6 0.2 3 1.66666666666667
194 634.666666666667 2 0 3 0 0.666666666666667 0 3 1
195 96 2 0 3 0 0.666666666666667 0 3 1
196 964.444444444444 62 21 27 0.161840628507295 0.176638176638177 0.00717948717948718 3 9
197 2607.6 6 2 5 0.6 0.6 0.2 3 1.66666666666667
198 525.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
199 838.666666666667 3 1 3 1 1 1 3 1
200 1055.5 3 0 4 0 0.5 0 3 1.33333333333333
201 846.666666666667 2 0 3 0 0.666666666666667 0 3 1
202 1152 2 0 3 0 0.666666666666667 0 3 1
203 213.333333333333 5 0 6 0 0.333333333333333 0 3 2
204 297.5 3 0 4 0 0.5 0 3 1.33333333333333
205 1257.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
206 182 2 0 3 0 0.666666666666667 0 3 1
207 240 3 1 3 1 1 1 3 1
208 842.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
209 1736.66666666667 3 1 3 1 1 1 3 1
210 126 2 0 3 0 0.666666666666667 0 3 1
211 192 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
212 301.647058823529 80 8 51 0.0586679116090881 0.0627450980392157 0.000384153661464586 3 17
213 186.666666666667 2 0 3 0 0.666666666666667 0 3 1
214 1085.75 9 1 8 0.208333333333333 0.321428571428571 0.0178571428571429 3 2.66666666666667
215 522.5 3 0 4 0 0.5 0 2 2
216 278 3 0 4 0 0.5 0 3 1.33333333333333
217 324.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
218 387.333333333333 2 0 3 0 0.666666666666667 0 3 1
219 905.5 3 0 4 0 0.5 0 3 1.33333333333333
220 1749.2 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
221 910 6 0 5 0 0.6 0 3 1.66666666666667
222 1130.4 5 0 5 0 0.5 0 3 1.66666666666667
223 358 2 0 3 0 0.666666666666667 0 3 1
224 1037.10344827586 100 31 29 0.161825328153929 0.246305418719212 0.00848385331143952 3 9.66666666666667
225 869.6 4 0 5 0 0.4 0 3 1.66666666666667
226 1438 22 4 16 0.264484126984127 0.183333333333333 0.00714285714285714 3 5.33333333333333
227 590.5 4 0 4 0 0.666666666666667 0 3 1.33333333333333
228 390 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
229 2617.33333333333 2 0 3 0 0.666666666666667 0 2 1.5
230 850 2 0 3 0 0.666666666666667 0 2 1.5
231 657 4 0 4 0 0.666666666666667 0 3 1.33333333333333
232 1276 4 0 5 0 0.4 0 2 2.5
233 954.8 7 3 5 0.8 0.7 0.3 3 1.66666666666667
234 1349.18181818182 34 3 22 0.083982683982684 0.147186147186147 0.00194805194805195 3 7.33333333333333
235 224 2 0 3 0 0.666666666666667 0 3 1
236 62.5 3 0 4 0 0.5 0 3 1.33333333333333
237 2977.75 12 4 8 0.6 0.428571428571429 0.0714285714285714 3 2.66666666666667
238 1260.44444444444 75 31 27 0.259376837154615 0.213675213675214 0.0105982905982906 3 9
239 1100.8 4 0 5 0 0.4 0 3 1.66666666666667
240 1547.66666666667 8 2 6 0.388888888888889 0.533333333333333 0.1 3 2
241 1445.33333333333 2 0 3 0 0.666666666666667 0 3 1
242 287.5 13 2 12 0.105555555555556 0.196969696969697 0.00909090909090909 3 4
243 121.826086956522 26 0 23 0 0.102766798418972 0 3 7.66666666666667
244 1028 2 0 3 0 0.666666666666667 0 3 1
245 548.4 5 0 5 0 0.5 0 2 2.5
246 829.714285714286 22 4 14 0.216666666666667 0.241758241758242 0.010989010989011 3 4.66666666666667
247 1291.77777777778 17 7 9 0.496296296296296 0.472222222222222 0.0833333333333333 3 3
248 210.666666666667 2 0 3 0 0.666666666666667 0 3 1
249 435.333333333333 2 0 3 0 0.666666666666667 0 2 1.5
250 418.5 3 0 4 0 0.5 0 3 1.33333333333333
251 641 3 0 4 0 0.5 0 3 1.33333333333333
252 197.333333333333 2 0 3 0 0.666666666666667 0 3 1
253 1314 3 1 3 1 1 1 3 1
254 158 2 0 3 0 0.666666666666667 0 2 1.5
255 70 2 0 3 0 0.666666666666667 0 2 1.5
256 442 2 0 3 0 0.666666666666667 0 2 1.5
257 999.2 5 0 5 0 0.5 0 3 1.66666666666667
258 382 2 0 3 0 0.666666666666667 0 3 1
259 114.666666666667 2 0 3 0 0.666666666666667 0 3 1
260 797.473684210526 20 0 19 0 0.116959064327485 0 2 9.5
261 772 2 0 3 0 0.666666666666667 0 2 1.5
262 252.666666666667 3 1 3 1 1 1 3 1
263 1239.5 3 0 4 0 0.5 0 3 1.33333333333333
264 1067.6 4 0 5 0 0.4 0 3 1.66666666666667
265 284.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
266 501.25 9 1 8 0.166666666666667 0.321428571428571 0.0178571428571429 3 2.66666666666667
267 1062 16 0 14 0 0.175824175824176 0 2 7
268 373.428571428571 8 2 7 0.4 0.380952380952381 0.0571428571428571 3 2.33333333333333
269 1330.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
270 1083.6 5 1 5 0.333333333333333 0.5 0.1 3 1.66666666666667
271 452.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
275 1054.5 3 0 4 0 0.5 0 3 1.33333333333333
307 416.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
310 5353.33333333333 3 1 3 1 1 1 3 1
311 1142.8 4 0 5 0 0.4 0 3 1.66666666666667
324 512 2 0 3 0 0.666666666666667 0 3 1
325 286.666666666667 3 1 3 1 1 1 3 1
330 346.666666666667 2 0 3 0 0.666666666666667 0 2 1.5
341 110 2 0 3 0 0.666666666666667 0 2 1.5
350 257.333333333333 2 0 3 0 0.666666666666667 0 3 1
356 1197.5 3 0 4 0 0.5 0 3 1.33333333333333
363 1977.5 4 1 4 0.583333333333333 0.666666666666667 0.25 3 1.33333333333333
381 1174 3 1 3 1 1 1 3 1
