"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "1568" 6 4 362.166666666667 4 4
"NO" "1569" 2 0 61 3 2
"NO" "157" 20 30 202.75 7 2
"NO" "1570" 6 2 65.1666666666667 5 5
"NO" "1571" 225 967 129.293333333333 27 5
"NO" "1572" 22 21 226.136363636364 10 5
"NO" "1573" 20 30 116.8 7 4
"NO" "1574" 5 2 77.2 4 4
"NO" "1575" 6 4 350.5 4 4
"NO" "1576" 10 10 223.7 5 5
"NO" "1577" 3 1 719.666666666667 3 1
"NO" "1578" 78 113 149 22 5
"NO" "1579" 63 127 69.4285714285714 15 5
"YES" "158" 2650 46870 272.762264150943 97 5
"NO" "1580" 1 0 66 2 2
"NO" "1581" 4 1 182.75 4 4
"NO" "1582" 6 4 160.333333333333 4 4
"NO" "1583" 8 5 109.125 5 1
"NO" "1584" 6 4 118.833333333333 4 4
"NO" "1585" 244 897 130.622950819672 40 5
"NO" "1586" 3 1 75.6666666666667 3 3
"NO" "1587" 6 4 390.833333333333 4 4
"YES" "1588" 78 286 292.935897435897 13 5
"NO" "1589" 10 10 128.7 5 5
"NO" "159" 35 36 99.2857142857143 13 2
"NO" "1590" 1 0 106 2 1
"NO" "1591" 1 0 93 2 1
"NO" "1592" 54 140 152.333333333333 13 5
"NO" "1593" 5 1 248.6 5 5
"NO" "1594" 9 7 262.111111111111 5 5
"YES" "1595" 199 904 390.854271356784 26 5
"YES" "1596" 32 38 405.78125 11 5
"YES" "1597" 4199 66475 183.205286973089 224 5
"NO" "1598" 10 10 330.1 5 5
"NO" "1599" 1 0 51 2 2
"NO" "16" 66 171 232.984848484848 14 1
"YES" "160" 6 4 295.5 4 4
"NO" "1600" 10 10 302.4 5 5
"NO" "1601" 10 10 113.9 5 5
"NO" "1602" 4 1 113.25 4 4
"NO" "1603" 1 0 166 2 2
"NO" "1604" 6 4 157.833333333333 4 3
"NO" "1605" 10 10 410.8 5 5
"NO" "1606" 4327 63113 99.6304599029351 172 5
"NO" "1607" 13 11 108.538461538462 7 5
"NO" "1608" 6 2 143.666666666667 5 3
"NO" "1609" 16 14 150.625 8 5
"NO" "161" 6 4 94.5 4 1
"NO" "1610" 1 0 88 2 2
"NO" "1611" 10 10 103.1 5 5
"NO" "1612" 29 43 148.793103448276 9 5
"NO" "1613" 3 1 344.666666666667 3 3
"NO" "1614" 120 401 132.575 23 5
"NO" "1615" 9 7 124.222222222222 5 5
"NO" "1616" 10 10 232.3 5 5
"NO" "1617" 10 10 468.7 5 5
"NO" "1618" 15 20 292.6 6 5
"NO" "1619" 9 7 163.222222222222 5 5
"YES" "162" 10 10 441 5 5
"NO" "1620" 6 4 356.333333333333 4 4
"NO" "1621" 1 0 173 2 1
"NO" "1622" 3 1 223 3 3
"NO" "1623" 10 10 452 5 5
"NO" "1624" 10 10 80 5 5
"NO" "1625" 10 10 815.5 5 5
"NO" "1626" 10 10 258.3 5 5
"NO" "1627" 1 0 240 2 1
"NO" "1628" 3 1 86.3333333333333 3 1
"NO" "1629" 7 3 336.142857142857 5 5
"NO" "163" 21 35 477.666666666667 7 5
"NO" "1630" 1 0 94 2 2
"NO" "1631" 28 56 274.428571428571 8 5
"NO" "1632" 10 10 573.5 5 5
"NO" "1633" 10 10 150.9 5 5
"YES" "1634" 9 7 180.666666666667 5 5
"NO" "1635" 1 0 399 2 1
"NO" "1636" 10 10 909.4 5 5
"NO" "1637" 6 4 161 4 4
"NO" "1638" 15 20 197.266666666667 6 1
"NO" "1639" 6 4 137.833333333333 4 3
"NO" "164" 11 10 181.909090909091 6 5
"NO" "1640" 1 0 90 2 2
"NO" "1641" 10 10 162.3 5 5
"NO" "1642" 1 0 306 2 1
"NO" "1643" 1 0 174 2 2
"YES" "1644" 27702 1782553 169.377120785503 262 5
"NO" "1645" 3 1 100.666666666667 3 3
"NO" "1646" 4 1 219.75 4 4
"NO" "1647" 10 10 112.9 5 5
"YES" "1648" 10 10 311.2 5 5
"NO" "1649" 52 71 81.0961538461538 17 5
"YES" "165" 10 10 236.5 5 5
"NO" "1650" 10 10 278.8 5 5
"NO" "1651" 6 2 74.3333333333333 5 5
"NO" "1652" 10 10 593.4 5 4
"NO" "1653" 28 56 329.928571428571 8 5
"NO" "1654" 2 0 98.5 3 2
"NO" "1655" 3 1 167.333333333333 3 3
"YES" "1656" 10 10 629.6 5 5
"NO" "1657" 1 0 85 2 2
"NO" "1658" 10 10 313.6 5 5
"NO" "1659" 7 4 582.285714285714 5 5
"NO" "166" 6 4 105 4 1
"NO" "1660" 1 0 450 2 1
"NO" "1661" 10 10 1109 5 5
"NO" "1662" 2 0 56.5 3 3
"NO" "1663" 4 0 50.75 5 3
"YES" "1664" 90 296 361.711111111111 15 5
"NO" "1665" 1 0 128 2 2
"NO" "1666" 41 92 369.19512195122 10 5
"NO" "1667" 37 84 186.864864864865 10 5
"YES" "1668" 10 10 388.6 5 5
"NO" "1669" 1 0 54 2 2
"NO" "167" 16 17 105.9375 7 1
"NO" "1670" 3 1 172.666666666667 3 3
"NO" "1671" 6 4 214.5 4 1
"YES" "1672" 31 45 96.4838709677419 11 5
"NO" "1673" 14 16 827.071428571429 6 5
"NO" "1674" 3 1 160.333333333333 3 3
"NO" "1675" 3 1 96 3 3
"NO" "1676" 6 2 149.333333333333 5 3
"NO" "1677" 3 1 564.333333333333 3 3
"NO" "1678" 10 10 113.9 5 5
"YES" "1679" 10 10 479.4 5 5
"NO" "168" 10 10 437.5 5 5
"NO" "1680" 10 10 136.1 5 5
"NO" "1681" 3 1 309.666666666667 3 2
"NO" "1682" 24 31 235.291666666667 10 4
"NO" "1683" 10 10 97.1 5 5
"YES" "1684" 10 10 693.7 5 5
"NO" "1685" 15 20 412.666666666667 6 5
"NO" "1686" 237 604 302.540084388186 54 5
"NO" "1687" 7 4 107.714285714286 5 1
"NO" "1688" 6 4 207.333333333333 4 4
"NO" "1689" 121 560 355.611570247934 17 5
"YES" "169" 7 4 152.857142857143 5 5
"NO" "1690" 20 14 82.05 12 4
"NO" "1691" 3 1 714 3 3
"NO" "1692" 1 0 265 2 2
"NO" "1693" 1 0 131 2 2
"NO" "1694" 10 10 397.6 5 5
"NO" "1695" 10 10 807.6 5 5
"NO" "1696" 117 488 119.820512820513 17 4
"NO" "1697" 6 4 109.5 4 4
"NO" "1698" 9 7 108.777777777778 5 5
"NO" "1699" 15 20 98.2 6 4
"NO" "17" 136 680 328.772058823529 17 5
"NO" "170" 14 16 476 6 5
"NO" "1700" 2 0 95.5 3 1
"NO" "1701" 3 1 118.666666666667 3 3
"NO" "1702" 1 0 65 2 2
"NO" "1703" 10 10 374.7 5 5
"NO" "1704" 89 156 85.3595505617977 25 5
"NO" "1705" 1 0 56 2 2
"NO" "1706" 3 1 170.333333333333 3 3
"NO" "1707" 1 0 130 2 1
"NO" "1708" 10 10 206.4 5 5
"NO" "1709" 3 1 815 3 3
"NO" "171" 239 942 83.4225941422594 32 5
"NO" "1710" 10 10 127.7 5 5
"NO" "1711" 1 0 96 2 1
"YES" "1712" 23 23 328.304347826087 10 5
"NO" "1713" 1 0 76 2 1
"NO" "1714" 6 4 746.833333333333 4 4
"YES" "1715" 140 295 93.4357142857143 34 5
"NO" "1716" 1 0 143 2 1
"NO" "1717" 6 4 409.333333333333 4 4
"NO" "1718" 3 1 568 3 3
"NO" "1719" 3 1 191 3 3
"NO" "172" 114 393 139.894736842105 15 3
"NO" "1720" 3 1 160 3 3
"NO" "1721" 2 0 213.5 3 2
"NO" "1722" 8 5 161.25 5 5
"YES" "1723" 29 36 218.551724137931 11 5
"NO" "1724" 3 1 421.333333333333 3 3
"NO" "1725" 3 1 344.333333333333 3 3
"YES" "1726" 9 7 124 5 5
"NO" "1727" 3 1 90.3333333333333 3 3
"NO" "1728" 15 20 265.333333333333 6 5
"NO" "1729" 1 0 78 2 2
"NO" "173" 10 10 277.2 5 5
"NO" "1730" 1 0 129 2 2
"NO" "1731" 7 2 202.714285714286 6 3
"NO" "1732" 6 2 139.333333333333 5 5
"NO" "1733" 4 1 106 4 4
"NO" "1734" 3 1 1147.66666666667 3 3
"NO" "1735" 5 2 317.8 4 3
"NO" "1736" 6 4 117.5 4 1
"YES" "1737" 68 107 377.367647058824 19 5
"NO" "1738" 288 1180 198.645833333333 39 5
"YES" "1739" 10 10 576.2 5 5
"NO" "174" 9 7 90.6666666666667 5 5
"NO" "1740" 20 18 145.25 9 5
"NO" "1741" 11 10 107.818181818182 6 5
"NO" "1742" 2 0 66.5 3 1
"NO" "1743" 1 0 78 2 1
"NO" "1744" 10 10 458.3 5 5
"NO" "1745" 10 10 140.1 5 5
"YES" "1746" 10 10 556.8 5 5
"NO" "1747" 10 10 145.3 5 5
"NO" "1748" 3 1 75.3333333333333 3 1
"NO" "1749" 3 0 50 4 1
"NO" "175" 26 32 86.6538461538462 10 4
"NO" "1750" 6 4 206.166666666667 4 4
"NO" "1751" 3 1 271 3 3
"NO" "1752" 1 0 57 2 2
"NO" "1753" 3 1 234.333333333333 3 3
"NO" "1754" 6 4 125.666666666667 4 1
"NO" "1755" 3 1 141 3 3
"NO" "1756" 10 10 425.9 5 5
"YES" "1757" 10 10 321.2 5 5
"NO" "1758" 8 5 104.5 5 5
"NO" "1759" 7 3 167.857142857143 5 5
"NO" "176" 10 10 168.4 5 5
"NO" "1760" 48 66 323.583333333333 16 5
"YES" "1761" 2337 9133 139.764655541292 351 5
"NO" "1762" 82 224 193.719512195122 17 5
"NO" "1763" 1 0 231 2 1
"NO" "1764" 1 0 47 2 2
"NO" "1765" 3 1 79.6666666666667 3 3
"NO" "1766" 1 0 51 2 1
"NO" "1767" 4 1 186 4 3
"NO" "1768" 1 0 110 2 1
"NO" "1769" 3 1 234 3 3
"YES" "177" 10 10 182.2 5 5
"NO" "1770" 10 10 209.4 5 5
"NO" "1771" 3 0 172.666666666667 4 1
"NO" "1772" 1 0 69 2 2
"NO" "1773" 1 0 62 2 1
"NO" "1774" 1 0 105 2 1
"NO" "1775" 2 0 48 3 1
"NO" "1776" 3 1 82 3 3
"NO" "1777" 10 10 297.7 5 5
"NO" "1778" 10 10 765.5 5 5
"NO" "1779" 6 2 149.333333333333 5 2
"NO" "178" 98 368 150.367346938776 16 5
"YES" "1780" 670 1308 65.5492537313433 182 5
"YES" "1781" 105 202 222.638095238095 27 5
"NO" "1782" 3 1 134 3 2
"NO" "1783" 1 0 678 2 1
"NO" "1784" 1 0 57 2 2
"NO" "1785" 16 20 280.5625 7 4
"NO" "1786" 1 0 127 2 2
"YES" "1787" 22 17 544.5 9 5
"NO" "1788" 10 10 330.2 5 5
"YES" "1789" 10 10 149.5 5 5
"NO" "179" 105 455 502.333333333333 15 5
"NO" "1790" 9 7 102.555555555556 5 5
"NO" "1791" 3 1 261.666666666667 3 3
"YES" "1792" 129 227 130.449612403101 34 5
"NO" "1793" 9 5 247.777777777778 6 5
"NO" "1794" 1 0 48 2 1
"NO" "1795" 3 1 288.666666666667 3 3
"YES" "1796" 10 10 156.4 5 5
"NO" "1797" 3 1 147.333333333333 3 3
"NO" "1798" 1 0 65 2 2
"NO" "1799" 8 5 187.75 5 1
"NO" "18" 153 816 340.751633986928 18 4
"YES" "180" 3 1 93.6666666666667 3 3
"NO" "1800" 78 286 105.641025641026 13 5
"YES" "1801" 10 10 349.7 5 5
"NO" "1802" 5 2 252.8 4 4
"NO" "1803" 5 2 184.4 4 4
"NO" "1804" 3 1 207 3 3
"NO" "1805" 2 0 89 3 3
"NO" "1806" 10 10 214.1 5 5
"NO" "1807" 1 0 52 2 1
"NO" "1808" 2 0 59 3 3
"NO" "1809" 12 10 156.916666666667 7 5
"NO" "181" 21 22 55.5714285714286 9 4
"NO" "1810" 59 144 79.9152542372881 13 1
"NO" "1811" 10 10 261.9 5 5
"NO" "1812" 1 0 113 2 2
"NO" "1813" 1 0 128 2 2
"NO" "1814" 10 10 100 5 5
"NO" "1815" 1 0 136 2 1
"NO" "1816" 1 0 94 2 1
"NO" "1817" 1 0 220 2 2
"YES" "1818" 21 35 146.190476190476 7 5
"NO" "1819" 3 1 270.666666666667 3 3
"NO" "182" 10 10 365.1 5 5
"NO" "1820" 1 0 68 2 1
"NO" "1821" 10 10 98.4 5 5
"NO" "1822" 3 1 82.6666666666667 3 3
"YES" "1823" 10 10 371 5 5
"YES" "1824" 10 10 192.2 5 5
"NO" "1825" 1 0 72 2 1
"NO" "1826" 10 10 90.1 5 5
"NO" "1827" 13 13 211.769230769231 6 5
"NO" "1828" 1 0 85 2 1
"NO" "1829" 1 0 58 2 2
"NO" "183" 44 79 121.613636363636 12 1
"NO" "1830" 10 10 237.2 5 5
"NO" "1831" 21 24 485.428571428571 8 5
"YES" "1832" 78 189 143.884615384615 21 5
"NO" "1833" 10 10 915.3 5 5
"NO" "1834" 3 1 437.666666666667 3 2
"NO" "1835" 5 1 92.6 5 5
"NO" "1836" 1 0 82 2 1
"NO" "1837" 1 0 64 2 2
"NO" "1838" 1 0 121 2 1
"NO" "1839" 29 29 230.724137931034 11 4
"NO" "184" 6 4 213 4 1
"NO" "1840" 10 10 506.1 5 5
"NO" "1841" 10 10 142.9 5 5
"NO" "1842" 31 45 241.225806451613 10 5
"NO" "1843" 6 4 79.6666666666667 4 4
"NO" "1844" 6 2 100.666666666667 5 5
"YES" "1845" 9 7 129.333333333333 5 5
"NO" "1846" 10 10 215.9 5 5
"NO" "1847" 2 0 46.5 3 1
"NO" "1848" 6 1 188.5 5 5
"NO" "1849" 34 70 139.647058823529 9 2
"YES" "185" 17 14 213.058823529412 9 5
"NO" "1850" 6 4 246.166666666667 4 4
"NO" "1851" 10 10 387.3 5 5
"NO" "1852" 10 10 544.9 5 5
"NO" "1853" 6 0 64.5 6 1
"NO" "1854" 3 1 75.3333333333333 3 3
"NO" "1855" 44 112 115.5 10 5
"YES" "1856" 10 10 195.9 5 5
"YES" "1857" 10 10 428.7 5 5
"NO" "1858" 1 0 572 2 1
"NO" "1859" 34 54 166.176470588235 10 5
"NO" "186" 152 800 106.5 18 5
"NO" "1860" 10 10 562.1 5 5
"NO" "1861" 1 0 50 2 2
"YES" "1862" 10 10 534.5 5 5
"NO" "1863" 3 1 176.333333333333 3 3
"NO" "1864" 10 10 169.6 5 5
"NO" "1865" 10 10 187.2 5 5
"NO" "1866" 1 0 66 2 1
"NO" "1867" 28 22 147.75 17 5
"NO" "1868" 3 1 204.333333333333 3 3
"NO" "1869" 15 20 90.1333333333333 6 5
"NO" "187" 6 4 144.833333333333 4 3
"NO" "1870" 1 0 128 2 2
"NO" "1871" 8 4 153 5 5
"NO" "1872" 31 27 110 16 5
"NO" "1873" 21 35 126.428571428571 7 4
"YES" "1874" 18 21 237.444444444444 8 5
"NO" "1875" 1 0 56 2 2
"YES" "1876" 10 10 188.9 5 5
"NO" "1877" 9 7 321.444444444444 5 5
"NO" "1878" 4 1 83.5 4 3
"NO" "1879" 3 1 715 3 3
"NO" "188" 8 5 73.625 5 5
"NO" "1880" 3 1 84.6666666666667 3 1
"NO" "1881" 3 1 155 3 2
"NO" "1882" 33 45 154.242424242424 11 5
"NO" "1883" 4 1 137.25 4 4
"NO" "1884" 1 0 87 2 1
"NO" "1885" 3 1 105 3 3
"NO" "1886" 10 5 586.7 7 4
"YES" "1887" 274 1047 330.642335766423 34 5
"NO" "1888" 3 1 68.3333333333333 3 2
"NO" "1889" 6 4 98.6666666666667 4 4
"NO" "189" 6 4 208.5 4 2
"NO" "1890" 45 120 200.177777777778 10 5
"YES" "1891" 105 455 780.2 15 5
"NO" "1892" 8 2 385.375 7 5
"NO" "1893" 3 0 144.333333333333 4 1
"NO" "1894" 5 2 102 4 4
"NO" "1895" 31 43 107.838709677419 11 5
"NO" "1896" 31 54 272.064516129032 9 5
"YES" "1897" 10 10 325.1 5 5
"NO" "1898" 18 23 774.277777777778 7 4
"NO" "1899" 2 0 112 3 3
"NO" "19" 6 4 324 4 3
"NO" "190" 10 10 94.5 5 5
"NO" "1900" 6 4 772.5 4 4
"NO" "1901" 10 10 182.5 5 5
"NO" "1902" 80 191 144.1375 20 5
"NO" "1903" 1 0 419 2 1
"NO" "1904" 10 10 235.8 5 5
"NO" "1905" 52 93 225.192307692308 15 5
"NO" "1906" 10 10 155 5 5
"NO" "1907" 3 1 72.3333333333333 3 3
"NO" "1908" 1 0 44 2 1
"NO" "1909" 3 1 412.333333333333 3 3
"YES" "191" 2762 26913 195.51339608979 239 5
"NO" "1910" 5 1 166.4 5 3
"NO" "1911" 30 30 166 13 5
"NO" "1912" 6 2 195.333333333333 5 3
"YES" "1913" 10 10 181.2 5 5
"NO" "1914" 1 0 45 2 1
"NO" "1915" 3 1 141 3 1
"NO" "1916" 3 1 231.666666666667 3 3
"NO" "1917" 10 10 216.4 5 4
"YES" "1918" 10 10 322.2 5 5
"NO" "1919" 6 4 326.333333333333 4 4
"NO" "192" 59 154 109.254237288136 13 1
"NO" "1920" 1 0 69 2 2
"NO" "1921" 9 7 61.2222222222222 5 5
"NO" "1922" 1 0 86 2 1
"NO" "1923" 57 99 237.543859649123 15 4
"NO" "1924" 2 0 67 3 2
"NO" "1925" 10 10 279.7 5 5
"NO" "1926" 1 0 70 2 2
"YES" "1927" 86 271 217.732558139535 15 5
"NO" "1928" 10 10 495.4 5 5
"NO" "1929" 1 0 124 2 2
"NO" "193" 118 301 153.533898305085 20 5
"YES" "1930" 10 10 161.2 5 5
"NO" "1931" 15 20 445.933333333333 6 5
"NO" "1932" 1 0 47 2 2
"NO" "1933" 10 10 222.3 5 5
"NO" "1934" 4 1 242.25 4 3
"NO" "1935" 6 4 278.333333333333 4 4
"NO" "1936" 10 10 138.5 5 4
"NO" "1937" 9 7 143.888888888889 5 5
"NO" "1938" 10 10 425.5 5 5
"NO" "1939" 1 0 128 2 2
"NO" "194" 10 10 404.8 5 5
"NO" "1940" 1 0 57 2 2
"NO" "1941" 1 0 81 2 1
"NO" "1942" 3 1 243 3 3
"NO" "1943" 1 0 106 2 2
"NO" "1944" 10 10 1514.5 5 4
"NO" "1945" 10 10 228.1 5 5
"NO" "1946" 6 4 81.5 4 4
"NO" "1947" 5 1 218.2 5 5
"NO" "1948" 9 7 91.6666666666667 5 5
"NO" "1949" 3 1 96.3333333333333 3 1
"NO" "195" 19 23 188.473684210526 8 3
"YES" "1950" 10 10 107.6 5 5
"NO" "1951" 1 0 108 2 1
"NO" "1952" 3 1 78.3333333333333 3 3
"NO" "1953" 2 0 68.5 3 2
"YES" "1954" 10 10 153.3 5 5
"NO" "1955" 10 10 161 5 5
"NO" "1956" 5 1 85.2 5 5
"NO" "1957" 3 1 162.666666666667 3 3
"NO" "1958" 3 1 121.666666666667 3 3
"NO" "1959" 3 1 85.6666666666667 3 3
"NO" "196" 244 1389 153.75 30 5
"NO" "1960" 3 1 213.333333333333 3 3
"NO" "1961" 1 0 128 2 1
"NO" "1962" 10 10 240.8 5 5
"NO" "1963" 10 10 182 5 5
"NO" "1964" 10 10 643.6 5 5
"YES" "1965" 8 5 211.125 5 5
"NO" "1966" 6 4 51.8333333333333 4 4
"NO" "1967" 18 21 146.388888888889 8 5
"NO" "1968" 1 0 156 2 2
"NO" "1969" 10 10 171.3 5 5
"NO" "197" 10 10 88.9 5 5
"NO" "1970" 14 6 301.285714285714 10 4
"NO" "1971" 3 1 119.333333333333 3 3
"NO" "1972" 1 0 224 2 2
"NO" "1973" 10 10 281.8 5 5
"YES" "1974" 52 61 95.7692307692308 18 5
"NO" "1975" 1 0 107 2 2
"NO" "1976" 1 0 74 2 1
"NO" "1977" 3 1 294 3 3
"YES" "1978" 337 1352 161.566765578635 47 5
"NO" "1979" 1 0 560 2 2
"NO" "198" 26 45 137.076923076923 8 3
"YES" "1980" 44 112 172.204545454545 10 5
"NO" "1981" 1 0 167 2 1
"NO" "1982" 25 41 206.52 8 5
"NO" "1983" 3 1 383.333333333333 3 3
"NO" "1984" 1 0 44 2 2
"NO" "1985" 1 0 47 2 2
"NO" "1986" 1 0 147 2 1
"NO" "1987" 13 11 182.384615384615 7 5
"NO" "1988" 1 0 60 2 2
"NO" "1989" 1 0 167 2 2
"NO" "199" 3 1 104.333333333333 3 3
"NO" "1990" 6 4 236.666666666667 4 4
"NO" "1991" 2 0 69.5 3 2
"NO" "1992" 136 316 196.117647058824 28 5
"YES" "1993" 7 4 120 5 5
"NO" "1994" 6 4 247.333333333333 4 4
"NO" "1995" 5 2 110.4 4 3
"NO" "1996" 1 0 68 2 2
"NO" "1997" 1 0 276 2 2
"NO" "1998" 2 0 61 3 3
"NO" "1999" 77 249 207.623376623377 14 2
"NO" "2" 10 10 596.3 5 5
"NO" "20" 2644 54836 190.807110438729 80 5
"NO" "200" 3 1 138.666666666667 3 1
"NO" "2000" 1 0 39 2 2
"NO" "2001" 10 10 483.6 5 5
"NO" "2002" 3 1 121.666666666667 3 3
"NO" "2003" 6 4 475 4 3
"NO" "2004" 10 5 106.9 7 3
"YES" "2005" 20 20 236.35 9 5
"NO" "2006" 20 18 129.25 9 5
"NO" "2007" 10 10 735.3 5 5
"NO" "2008" 1 0 48 2 1
"NO" "2009" 3 1 338 3 3
"YES" "201" 169 936 122.183431952663 19 5
"NO" "2010" 24 23 199.833333333333 10 5
"YES" "2011" 10 10 264.2 5 5
"NO" "2012" 4 1 49.5 4 1
"YES" "2013" 10 10 266.8 5 5
"NO" "2014" 10 10 195.3 5 5
"NO" "2015" 10 10 366.6 5 5
"NO" "2016" 44 76 280.022727272727 14 4
"NO" "2017" 10 10 173.8 5 5
"NO" "2018" 1 0 322 2 2
"NO" "2019" 1 0 90 2 2
"NO" "202" 10 10 107.1 5 5
"NO" "2020" 6 4 103.333333333333 4 4
"NO" "2021" 10 10 384.4 5 5
"NO" "2022" 3 1 173.666666666667 3 3
"NO" "2023" 1 0 60 2 2
"NO" "2024" 3 1 142.666666666667 3 1
"NO" "2025" 10 10 119.5 5 5
"NO" "2026" 10 10 202.7 5 3
"NO" "2027" 1 0 145 2 1
"NO" "2028" 10 10 573.9 5 5
"NO" "2029" 11 10 96.9090909090909 6 5
"NO" "203" 3 1 160.666666666667 3 3
"NO" "2030" 70 185 395.5 16 5
"NO" "2031" 10 10 181 5 5
"NO" "2032" 1 0 78 2 1
"NO" "2033" 6185 187229 183.117219078416 208 5
"NO" "2034" 71 96 165.014084507042 23 5
"YES" "2035" 37 70 196.621621621622 10 5
"NO" "2036" 3 1 425.333333333333 3 3
"NO" "2037" 15 16 146.066666666667 7 5
"NO" "2038" 1 0 259 2 2
"NO" "2039" 8 5 251.75 5 2
"YES" "204" 435 4060 399.255172413793 30 5
"NO" "2040" 15 20 815.266666666667 6 5
"NO" "2041" 15 20 359.133333333333 6 4
"NO" "2042" 3 1 73.6666666666667 3 3
"NO" "2043" 10 10 161.6 5 5
"NO" "2044" 7 4 112.285714285714 5 3
"NO" "2045" 3 1 100.333333333333 3 3
"NO" "2046" 3 1 349.666666666667 3 3
"NO" "2047" 10 10 206.2 5 5
"NO" "2048" 6 4 191.833333333333 4 4
"YES" "2049" 160 589 99.3875 27 5
"NO" "205" 6 4 91.1666666666667 4 1
"NO" "2050" 6 4 86.5 4 3
"NO" "2051" 151 454 380.907284768212 25 5
"NO" "2052" 33 66 192.272727272727 9 5
"NO" "2053" 3 1 103 3 3
"NO" "2054" 1 0 300 2 2
"NO" "2055" 61 177 114 12 5
"NO" "2056" 1 0 397 2 1
"NO" "2057" 11 10 167.090909090909 6 5
"NO" "2058" 6 4 347.833333333333 4 4
"NO" "2059" 15 20 176.2 6 5
"NO" "206" 7 4 98.5714285714286 5 1
"YES" "2060" 2892 12480 136.414246196404 393 5
"NO" "2061" 8 5 168.125 5 5
"NO" "2062" 9 7 274.666666666667 5 5
"NO" "2063" 1 0 136 2 2
"NO" "2064" 28 56 203.821428571429 8 2
"NO" "2065" 3 1 181.666666666667 3 3
"NO" "2066" 1 0 135 2 2
"NO" "2067" 16 14 156.6875 8 5
"NO" "2068" 15 20 239.4 6 5
"NO" "2069" 17 21 365.647058823529 7 4
"NO" "207" 2 0 125.5 3 2
"NO" "2070" 10 10 554.3 5 5
"NO" "2071" 1 0 221 2 2
"NO" "2072" 135 357 227.407407407407 30 5
"YES" "2073" 10 10 411.3 5 5
"NO" "2074" 1 0 526 2 1
"NO" "2075" 1 0 93 2 2
"NO" "2076" 15 16 192.133333333333 7 2
"NO" "2077" 10 10 327.9 5 5
"NO" "2078" 10 10 430.7 5 5
"NO" "2079" 7 4 102.428571428571 5 5
"NO" "208" 21 35 183.666666666667 7 4
"NO" "2080" 6 4 138 4 4
"NO" "2081" 10 10 285 5 5
"NO" "2082" 6 2 125.833333333333 5 5
"NO" "2083" 1 0 84 2 2
"NO" "2084" 1 0 44 2 1
"YES" "2085" 709 6635 158.626234132581 65 5
"NO" "2086" 12 11 208.25 6 5
"NO" "2087" 3 1 325 3 3
"YES" "2088" 6 4 141.833333333333 4 4
"NO" "2089" 54 106 179.796296296296 14 5
"NO" "209" 6 4 172.833333333333 4 4
"NO" "2090" 1 0 44 2 1
"NO" "2091" 16 11 247 9 5
"NO" "2092" 15 13 175.866666666667 7 4
"NO" "2093" 21 35 110.428571428571 7 5
"NO" "2094" 3 1 110.333333333333 3 3
"NO" "2095" 6 1 166.333333333333 5 5
"NO" "2096" 10 10 335.2 5 5
"NO" "2097" 10 10 86.2 5 5
"NO" "2098" 1 0 88 2 1
"NO" "2099" 15 20 167.266666666667 6 5
"YES" "21" 998 13627 343.857715430862 48 5
"NO" "210" 56 157 124.053571428571 12 2
"NO" "2100" 3 1 155.333333333333 3 2
"NO" "2101" 1 0 119 2 2
"NO" "2102" 21 35 418.047619047619 7 5
"NO" "2103" 4 1 309.75 4 4
"NO" "2104" 10 10 359.3 5 5
"NO" "2105" 1 0 377 2 1
"YES" "2106" 10 10 579.5 5 5
"NO" "2107" 6 4 328.666666666667 4 4
"NO" "2108" 1 0 85 2 1
"YES" "2109" 45 120 527.288888888889 10 5
"NO" "211" 28 56 102.214285714286 8 1
"NO" "2110" 10 10 87 5 5
"YES" "2111" 10 10 178.6 5 5
"NO" "2112" 10 10 427.7 5 5
"NO" "2113" 1031 14228 213.82444228904 50 5
"NO" "2114" 27 31 475.259259259259 10 5
"YES" "2115" 10 10 197.2 5 5
"NO" "2116" 1 0 144 2 1
"YES" "2117" 696 2545 141.668103448276 120 5
"YES" "2118" 10 10 1316.3 5 5
"NO" "2119" 10 10 102.3 5 5
"YES" "212" 10 10 374.7 5 5
"NO" "2120" 3 1 146 3 3
"NO" "2121" 1 0 72 2 2
"NO" "2122" 6 4 465.333333333333 4 4
"NO" "2123" 10 10 168.1 5 5
"NO" "2124" 10 10 280.4 5 5
"NO" "2125" 10 10 180.6 5 5
"NO" "2126" 10 10 270.7 5 5
"NO" "2127" 6 4 211.5 4 3
"YES" "2128" 10 10 149 5 5
"NO" "2129" 10 10 480.4 5 5
"NO" "213" 144 613 79.6666666666667 20 1
"NO" "2130" 7 4 232.714285714286 5 5
"NO" "2131" 16 11 147.125 10 3
"NO" "2132" 4 1 731.25 3 3
"NO" "2133" 1 0 341 2 1
"NO" "2134" 7 4 67.2857142857143 5 4
"YES" "2135" 10 10 223.6 5 5
"NO" "2136" 2 0 196 3 2
"NO" "2137" 1 0 93 2 2
"NO" "2138" 15 20 180.733333333333 6 5
"NO" "2139" 3 1 204.333333333333 3 3
"NO" "214" 10 10 183.5 5 1
"YES" "2140" 10 10 143.2 5 5
"NO" "2141" 10 10 128.9 5 5
"NO" "2142" 3 1 365.333333333333 3 3
"NO" "2143" 10 10 149.5 5 5
"NO" "2144" 3 1 542 3 2
"YES" "2145" 10 10 164.5 5 5
"NO" "2146" 5 1 167.8 5 1
"NO" "2147" 40 85 475.475 12 5
