"inDEG" "group" "links" "triplet" "mean_edge" "nodes" "species"
"NO" "1126" 7 4 178.285714285714 5 5
"NO" "1127" 3 1 145 3 3
"NO" "1128" 7 3 97.5714285714286 5 5
"NO" "1129" 117 173 142.025641025641 39 5
"YES" "113" 19 26 345.631578947368 7 5
"YES" "1130" 1269 11113 123.072498029945 96 5
"NO" "1131" 1 0 120 2 1
"NO" "1132" 1 0 104 2 2
"NO" "1133" 2 0 76.5 3 2
"YES" "1134" 34 31 444.264705882353 15 5
"NO" "1135" 1 0 147 2 2
"NO" "1136" 1 0 48 2 2
"NO" "1137" 3 1 60 3 3
"NO" "1138" 3 1 119.333333333333 3 3
"NO" "1139" 10 10 611.5 5 5
"YES" "114" 10 10 269.2 5 5
"NO" "1140" 6 4 172.5 4 4
"YES" "1141" 126 517 262.420634920635 19 5
"NO" "1142" 14 13 117.5 7 4
"NO" "1143" 1 0 166 2 1
"NO" "1144" 15 8 70.9333333333333 9 2
"YES" "1145" 10 10 710.8 5 5
"YES" "1146" 100 397 153.56 14 5
"NO" "1147" 10 10 112.7 5 5
"NO" "1148" 1 0 147 2 2
"NO" "1149" 8 2 77.625 7 5
"YES" "115" 10 10 3855.3 5 5
"NO" "1150" 8 3 124.75 6 5
"NO" "1151" 1 0 591 2 2
"NO" "1152" 72 101 311.083333333333 21 5
"NO" "1153" 3 1 171.333333333333 3 3
"NO" "1154" 3 1 151.333333333333 3 3
"NO" "1155" 6 4 88.6666666666667 4 4
"NO" "1156" 13 11 151.769230769231 7 5
"NO" "1157" 10 10 80.9 5 5
"NO" "1158" 244 494 151.504098360656 60 5
"YES" "1159" 610 3387 326.532786885246 68 5
"NO" "116" 10 10 173.2 5 3
"YES" "1160" 10 10 207.8 5 5
"NO" "1161" 3 1 111 3 3
"NO" "1162" 3 1 522 3 3
"NO" "1163" 1 0 67 2 2
"NO" "1164" 9 7 114.222222222222 5 5
"NO" "1165" 58 158 307.155172413793 12 5
"NO" "1166" 10 7 109 6 5
"NO" "1167" 25 25 145.12 12 5
"YES" "1168" 38788 1809307 106.730328967722 476 5
"YES" "1169" 10 10 640.4 5 5
"NO" "117" 6 2 56.1666666666667 5 3
"NO" "1170" 20 20 249.55 9 5
"NO" "1171" 7 4 229.714285714286 5 5
"NO" "1172" 1 0 139 2 2
"NO" "1173" 6 4 353.666666666667 4 4
"NO" "1174" 14 16 405.5 6 5
"NO" "1175" 30 53 206.366666666667 9 5
"NO" "1176" 10 10 117.4 5 5
"NO" "1177" 20 23 152.5 9 5
"YES" "1178" 790 7622 207.93417721519 56 5
"NO" "1179" 3 1 104.666666666667 3 3
"NO" "118" 45 120 370 10 5
"NO" "1180" 17 21 176.470588235294 7 4
"NO" "1181" 6 4 78.6666666666667 4 4
"NO" "1182" 10 10 649.4 5 5
"YES" "1183" 14 16 282.285714285714 6 5
"NO" "1184" 10 10 69.8 5 5
"NO" "1185" 6 4 54.3333333333333 4 3
"NO" "1186" 1 0 77 2 2
